StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q9,Q11,Al concluir este Bloque con Sentido Humano,Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible,Nivel de sensibilización que aportó esta unidad de formación para la atención de necesidades sociales,Seguimiento y liderazgo que dio la organización socio formadora en el desarrollo de tu experiencia,"Herramientas que aplicaste como las actividades, reportes, ""quizzes"", dentro de la plataforma de CANVAS en el desarrollo de la experiencia de Servicio Social",Q2_6,Q2_7,Q2_8,Q5,Q9,Q6,Al concluir este Bloque con Sentido Humano,Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible,Nivel de sensibilización que aportó esta unidad de formación para la atención de necesidades sociales,Seguimiento y liderazgo que dio la organización socio formadora en el desarrollo de tu experiencia,Q3,Q7,CRN,Nombre de Experiencia,OSF,Periodo,Tipo de Formato
Fecha de inicio,Fecha final,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,Apellido del destinatario,ID,Datos de referencia externos,Latitud de ubicación,Longitud de ubicación,Canal de la distribución,Idioma del usuario,Matrícula con A0XXXXXXX:,Selecciona la Organización Socioformadora y el nombre del proyecto en el que participaste:,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - a) Al concluir este Proyecto Solidario.,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - b) Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible.,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - c) Nivel de valor aportado a la organización socio formadora a través de tus entregables,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - e) Momentos de interacción y escucha con los beneficiarios/destinatarios del proyecto,"1. Evalúa tu nivel satisfacción en los siguientes aspectos: - f)  Herramientas que aplicaste como las actividades, reportes, ""quizzes"", dentro de la plataforma de CANVAS en el desarrollo de la experiencia de Servicio Social.",1. Evalúa tu nivel satisfacción en los siguientes aspectos: - g) Experiencia de colaboración con la organización socio formadora,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - h) Seguimiento y liderazgo de la organización socio formadora,"1. Evalúa tu nivel satisfacción en los siguientes aspectos: - i) Atención y servicio del área que administra el Servicio Social en el campus (asesoría y orientación, información puntual, atención de dudas, seguimiento de incidentes)",2. La Organización Socio Formadora ¿ofreció retroalimentación sobre el desarrollo del Proyecto Solidario y tu desempeño?,3. ¿Consideras interesante la causa social del socio formador?,4. Escribe algún comentario que te interese compartir con la organización socio formadora:,"5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - a) Ser sensible ante la vulnerabilidad, el dolor y el sufrimiento del otro y actuar con el fin de eliminarlo, aliviarlo o evitarlo, a través de acciones justas alejadas de la pasión egoísta y/o de sentimientos de superioridad","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - b) Actuar con responsabilidad, con el fin de asegurar el bienestar de la colectividad, a través de acciones que garantizan el acceso a los derechos humanos, el empoderamiento de los ciudadanos y de las comunidades, así como el cuidado, mantenimiento y uso sostenible de los recursos y bienes comunes","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - c) Actuar con respeto ante la diversidad de género, sexual, étnica, cultural, de capacidades, generacional, religiosa y socioeconómica mostrando una cordial aceptación de las diferencias y la capacidad para gestionar de manera razonable los conflictos","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - e) Promover soluciones cooperativas en problemas o coordinar acciones colectivas con el fin de mejorar la calidad de vida de la sociedad, fomentando la cultura de la legalidad, los derechos humanos y/o el fortalecimiento de la democracia",6. Comparte algo en particular sobre la experiencia de servicio social que acabas de vivir. Nos interesa conocer tu opinión:,6.1 Tu comentario sobre la experiencia es:,CRN,Nombre de Experiencia,OSF,Periodo,Tipo de Formato
06/09/22 9:04,06/09/22 9:05,Survey Preview,,100,31,True,06/09/22 9:05,R_2CDr2f596tCZbqW,,@00001,,25.6554,-100.3258,preview,ES-ES,A01097190,7,"
1 Nada Satisfecho","
1 Nada Satisfecho","
1 Nada Satisfecho","
1 Nada Satisfecho","
1 Nada Satisfecho","
1 Nada Satisfecho","
1 Nada Satisfecho","
1 Nada Satisfecho",Sí,Sí,a,"
1 Nada de Acuerdo","
1 Nada de Acuerdo","
1 Nada de Acuerdo","
1 Nada de Acuerdo",a,Área de oportunidad,,,,,
17/10/22 7:34,17/10/22 7:36,IP Address,187.190.79.199,100,153,True,17/10/22 7:36,R_DkJMUtMNUhQTIJ3,,@00002,,25.6449,-100.311,email,ES-ES,A00823325,Proyecto 99_Proyecto 99 - Logística, 4, 4, 4,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,:) ,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",,,33182,Proyecto Investigación: La vulnerabilidad para las mujeres trabajadoras,"VIFAC, Vida y Familia Monterrey, A.B.P.",44593,Regular
17/10/22 11:41,17/10/22 11:47,IP Address,131.178.102.152,100,363,True,17/10/22 11:47,R_2fYCLG3gMwNMcIp,,@00003,,25.6449,-100.311,email,ES-ES,A00835318,"Museo El Centenario, Ayuntamiento de San Pedro Garza García/Secretaría de Cultura y Educación de San Pedro Garza García, NL_Laboratorio de co-creación del acervo de Historia Oral - Museo del Centenario, SPGG", 4, 4, 4,"
5 Muy Satisfecho", 4,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Lo que buscan transmitir con el acervo del museo es muy valioso para la conservación y promoción de la cultura de los habitantes del casco urbano De San Pedro., 4,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","Tuve la oportunidad de conocer mejor la zona donde el museo se sitúa y me encantó participar en la experiencia de servicio.
",Reconocimiento,33185,"Laboratorio de co-creación del acervo de Historia Oral - Museo del Centenario, SPGG","Museo El Centenario, Ayuntamiento de San Pedro Garza García/Secretaría de Cultura y Educación de San Pedro Garza García, NL",44593,Regular
17/10/22 7:34,17/10/22 17:22,IP Address,200.68.140.11,100,35283,True,17/10/22 17:22,R_1KfgbyBmJaGpfCx,,@00004,,19.5058,-99.1158,email,ES-ES,A00834301,Fundación Sé Más_Organización de eventos de emprendimiento - Fundación Sé Más,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Una nueva y grata experiencia, 3,"
5 Totalmente de Acuerdo", 3,"
5 Totalmente de Acuerdo",Trabaje con mcuhs personas y desarrolle nuevas capacidades y habilidades.,Reconocimiento,33184,Organización de eventos de emprendimiento - Fundación Sé Más,Fundación Sé Más,44593,Regular
17/10/22 18:52,17/10/22 18:56,IP Address,187.161.118.142,100,243,True,17/10/22 18:56,R_31KsNFz65AOxZN1,,@00005,,25.6449,-100.311,email,ES-ES,A01658002,"Consejo de Seguridad de la información y ciberseguridad, A.C._Cybersecurity App","
1 Nada Satisfecho","
1 Nada Satisfecho","
1 Nada Satisfecho","
1 Nada Satisfecho", 3,"
1 Nada Satisfecho","
1 Nada Satisfecho", 3,No,Sí,No responden mensajes ni tampoco resuelven dudas,"
1 Nada de Acuerdo","
1 Nada de Acuerdo","
1 Nada de Acuerdo","
1 Nada de Acuerdo",No responden mensajes ni permiten avanzar. A esar de estar interesado en realizar el trabajo decidieron darme de baja después de haberles contactado múltiples veces buscando la forma de colaborar ya que no fueron lo suficientemente claros con lo que se quería lograr,Área de oportunidad,33206,Cybersecurity App,"Consejo de Seguridad de la información y ciberseguridad, A.C.",2,Regular
19/10/22 22:39,19/10/22 22:43,IP Address,187.189.165.225,100,226,True,19/10/22 22:43,R_3IQ7LNRRuuFMLzB,,@00006,,25.6677,-100.2514,email,ES-ES,A00834819,"Fundación El Mundo Escribe, A.C._El mundo escribe, somos lenguaje","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,n, 4,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo", n,Área de oportunidad,33162,"El mundo escribe, somos lenguaje","Fundación El Mundo Escribe, A.C.",44593,Regular
01/11/22 17:37,01/11/22 18:06,IP Address,131.178.102.208,100,1717,True,01/11/22 18:06,R_1MYzIl4jEGa64m6,,@00007,,25.6449,-100.311,email,ES-ES,A01721419,"VIFAC, Vida y Familia Monterrey, A.B.P._VIFAC a tiempo","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Excelente organización,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","La mejor organización, con un objetivo muy noble con el cual realmente hacen una diferencia!",Reconocimiento,33182,Proyecto Investigación: La vulnerabilidad para las mujeres trabajadoras,"VIFAC, Vida y Familia Monterrey, A.B.P.",44593,Regular
01/11/22 19:42,01/11/22 19:45,IP Address,189.159.88.172,100,178,True,01/11/22 19:45,R_3Gd0IEBcidet3YG,,@00008,,25.6544,-100.4056,email,ES-ES,A00825519,"Tierra de Artistas, A.C._Taller de medicina tradicional a través de la herbolaria zapoteca SEPT","
5 Muy Satisfecho","
5 Muy Satisfecho", 4,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho", 3, 3,No,Sí,Padre actividades, 4,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Me gusto mucho,,33204,Taller de medicina tradicional a través de la herbolaria zapoteca SEPT,"Tierra de Artistas, A.C.",2,Regular
17/10/22 22:06,01/11/22 22:53,IP Address,131.178.200.61,100,1298823,True,01/11/22 22:53,R_3D22B83XzfCgvSB,,@00009,,25.6449,-100.311,email,ES-ES,A01731549,"Tierra de Artistas, A.C._Taller de Alebrijes y grecas Zapotecas SEPT","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Se me hizo muy ameno estar pintando el alebrije mientras Jhony nos contaba del origen de la tradición y su significado,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Me gustó la experiencia del taller ,Reconocimiento,33203,Taller de Alebrijes y grecas Zapotecas SEPT,"Tierra de Artistas, A.C.",2,Regular
