StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Al concluir este Bloque con Sentido Humano,Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible,Nivel de sensibilización que aportó esta unidad de formación para la atención de necesidades sociales,Seguimiento y liderazgo que dio la organización socio formadora en el desarrollo de tu experiencia,"Herramientas que aplicaste como las actividades, reportes, ""quizzes"", dentro de la plataforma de CANVAS en el desarrollo de la experiencia de Servicio Social",Q2_6,Q2_7,Q2_8,Q5,Q9,Q6,Al concluir este Bloque con Sentido Humano,Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible,Nivel de sensibilización que aportó esta unidad de formación para la atención de necesidades sociales,Seguimiento y liderazgo que dio la organización socio formadora en el desarrollo de tu experiencia,Q3,Q7,CRN,Nombre de Experiencia,OSF,Periodo,Semana,Tipo de Formato
Fecha de inicio,Fecha final,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,ID,Datos de referencia externos,Latitud de ubicación,Longitud de ubicación,Canal de la distribución,Idioma del usuario,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - a) Al concluir este Proyecto Solidario.,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - b) Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible.,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - c) Nivel de valor aportado a la organización socio formadora a través de tus entregables,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - e) Momentos de interacción y escucha con los beneficiarios/destinatarios del proyecto,"1. Evalúa tu nivel satisfacción en los siguientes aspectos: - f)  Herramientas que aplicaste como las actividades, reportes, ""quizzes"", dentro de la plataforma de CANVAS en el desarrollo de la experiencia de Servicio Social.",1. Evalúa tu nivel satisfacción en los siguientes aspectos: - g) Experiencia de colaboración con la organización socio formadora,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - h) Seguimiento y liderazgo de la organización socio formadora,"1. Evalúa tu nivel satisfacción en los siguientes aspectos: - i) Atención y servicio del área que administra el Servicio Social en el campus (asesoría y orientación, información puntual, atención de dudas, seguimiento de incidentes)",2. La Organización Socio Formadora ¿ofreció retroalimentación sobre el desarrollo del Proyecto Solidario y tu desempeño?,3. ¿Consideras interesante la causa social del socio formador?,4. Escribe algún comentario que te interese compartir con la organización socio formadora:,"5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - a) Ser sensible ante la vulnerabilidad, el dolor y el sufrimiento del otro y actuar con el fin de eliminarlo, aliviarlo o evitarlo, a través de acciones justas alejadas de la pasión egoísta y/o de sentimientos de superioridad","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - b) Actuar con responsabilidad, con el fin de asegurar el bienestar de la colectividad, a través de acciones que garantizan el acceso a los derechos humanos, el empoderamiento de los ciudadanos y de las comunidades, así como el cuidado, mantenimiento y uso sostenible de los recursos y bienes comunes","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - c) Actuar con respeto ante la diversidad de género, sexual, étnica, cultural, de capacidades, generacional, religiosa y socioeconómica mostrando una cordial aceptación de las diferencias y la capacidad para gestionar de manera razonable los conflictos","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - e) Promover soluciones cooperativas en problemas o coordinar acciones colectivas con el fin de mejorar la calidad de vida de la sociedad, fomentando la cultura de la legalidad, los derechos humanos y/o el fortalecimiento de la democracia",6. Comparte algo en particular sobre la experiencia de servicio social que acabas de vivir. Nos interesa conocer tu opinión:,6.1 Tu comentario sobre la experiencia es:,CRN,Nombre de Experiencia,OSF,Periodo,Semana,Tipo de Formato
02/05/22 22:05,02/05/22 22:08,IP Address,189.208.147.102,100,216,True,02/05/22 22:08,R_1gehSzL4JdrOfjO,@00001,,25.7633,-100.2783,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho", 4,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Muchas gracias por haberme dejado ser parte de su gran labor aunque sea poniendo mi granito de arena!,"
5 Totalmente de Acuerdo", 4,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Fue una experiencia muy bonita y enriquecedora que la verdad disfrute muchísimo!!,Reconocimiento,27964,"El mundo escribe, somos lenguaje","Fundación El Mundo Escribe, A.C.",202211,2,Regular
02/05/22 22:39,02/05/22 22:40,IP Address,189.213.45.132,100,85,True,02/05/22 22:40,R_3qkQ9piea9AUgmi,@00002,,25.6819,-100.2631,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Me encanta poder trabajar con Tierra de Artistas,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Es la segunda vez que colaboro con Tierra de Artistas y me encantaría volverlo a hacer en el futuro.,Reconocimiento,27968,Taller de medicina tradicional a través de la herbolaria zapoteca,"Tierra de Artistas, A.C.",202211,2,Regular
02/05/22 23:09,02/05/22 23:12,IP Address,189.207.111.252,100,193,True,02/05/22 23:12,R_3fpJqAdwRBNvLQL,@00003,,25.6544,-100.4056,email,ES-ES, 4, 4,"
5 Muy Satisfecho", 2, 3, 4,"
5 Muy Satisfecho", 3,Sí,Sí,Siento que lo que hice sera de mucha ayuda , 4,"
5 Totalmente de Acuerdo", 4,"
5 Totalmente de Acuerdo",Una vez que ya he hecho un proyecto solidario en canvas no deberia de pedirme que vuelva a realizar todos los entregables como los quizzes nuevamente aunque la primera vez que los realice si me sirvieron mucho. ,Área de oportunidad,27977,UNO hace la diferencia,Centro VALIA,202211,1-2,Regular
03/05/22 2:03,03/05/22 2:05,IP Address,80.254.69.79,100,128,True,03/05/22 2:05,R_5vFwpnvS5MOGxNf,@00004,,47.5586,8.4693,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,"Increíble experiencia, todo esta muy bien organizado. ","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","Es demandante en cuestión de tiempos, pero vale mucho la pena. ",Reconocimiento,28239,Prepanet - Tutor en Línea,Prepanet Monterrey,202211,1-2,Regular
03/05/22 8:29,03/05/22 8:31,IP Address,131.178.102.136,100,149,True,03/05/22 8:31,R_2dstcehHxAMBSbS,@00005,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,"Me pareció una excelente idea, el apoyo a nuestros compañeros de prepanet, pues ellos son los que más práctican la resiliencia de toda la comunidad tec","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","Apoyé mucho a una alumna, le compartí acerca de Dios y lo más interesante es que ella también me hizo reafirmar mi fe en Jehová",Reconocimiento,28239,Prepanet - Tutor en Línea,Prepanet Monterrey,202211,1-2,Regular
03/05/22 9:07,03/05/22 9:10,IP Address,131.178.102.168,100,222,True,03/05/22 9:10,R_3MtjHj93iLz6edg,@00006,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Me parece una excelente causa y todo el compromiso que hay detrás de cada uno de los participantes en el proyecto,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Me ayudó mucho a comprender las diferentes realidades que enfrentan estudiantes de preparatorias en línea,Reconocimiento,28239,Prepanet - Tutor en Línea,Prepanet Monterrey,202211,1-2,Regular
03/05/22 12:21,03/05/22 12:23,IP Address,131.178.102.220,100,129,True,03/05/22 12:23,R_2TvObIDHzbmLtRx,@00007,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Todo súper bien.,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Fue bastante interesante aprender un poco más sobre la herbolaría en mi país.,Reconocimiento,27968,Taller de medicina tradicional a través de la herbolaria zapoteca,"Tierra de Artistas, A.C.",202211,2,Regular
03/05/22 9:02,03/05/22 13:19,IP Address,189.213.158.189,100,15395,True,03/05/22 13:19,R_3kAEKkqphBAeLOg,@00008,,25.5746,-100.4839,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,"Muy interesante trabajo
","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Muy bonito trabajar con caballos,Reconocimiento,27953,Zamora Coaching Inc. en redes sociales,"Zamora Coaching INC, A.C.",202211,2,Regular
03/05/22 16:58,03/05/22 17:00,IP Address,187.162.50.231,100,104,True,03/05/22 17:00,R_2VjRdHwlMAeNdJI,@00009,,25.6581,-100.4108,email,ES-ES, 4, 3, 4, 4, 3, 4,"
5 Muy Satisfecho", 4,Sí,Sí,Me gusto Mucho, 4, 4,"
5 Totalmente de Acuerdo", 4,"El trabajo final podria ser diferente, quiza algo mas relacionado",Área de oportunidad,27963,Descubre cuántas personas aprenden a hacer las cosas bien,"Hagámoslo Bien por una Cultura de la Legalidad, A.C.",202211,2,Regular
