StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,UserLanguage,Q2,Q3,Al concluir este Bloque con Sentido Humano,Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible,Nivel de sensibilización que aportó esta unidad de formación para la atención de necesidades sociales,Seguimiento y liderazgo que dio la organización socio formadora en el desarrollo de tu experiencia,"Herramientas que aplicaste como las actividades, reportes, ""quizzes"", dentro de la plataforma de CANVAS en el desarrollo de la experiencia de Servicio Social",Q2_6,Q2_7,Q2_8,Q5,Q6,Q7,Al concluir este Bloque con Sentido Humano,Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible,Nivel de sensibilización que aportó esta unidad de formación para la atención de necesidades sociales,Seguimiento y liderazgo que dio la organización socio formadora en el desarrollo de tu experiencia,Q9,Q10,CRN,Nombre de Experiencia,OSF,Periodo,Tipo de Formato
Fecha de inicio,Fecha final,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,Apellido del destinatario,Nombre del destinatario,Correo electrónico del destinatario,Datos de referencia externos,Latitud de ubicación,Longitud de ubicación,Idioma del usuario,ID,Selecciona la Organización Socioformadora y el nombre del proyecto en el que participaste:,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - a) Al concluir este Proyecto Solidario.,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - b) Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible.,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - c) Nivel de valor aportado a la organización socio formadora a través de tus entregables,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - e) Momentos de interacción y escucha con los beneficiarios/destinatarios del proyecto,"1. Evalúa tu nivel satisfacción en los siguientes aspectos: - f)  Herramientas que aplicaste como las actividades, reportes, ""quizzes"", dentro de la plataforma de CANVAS en el desarrollo de la experiencia de Servicio Social.",1. Evalúa tu nivel satisfacción en los siguientes aspectos: - g) Experiencia de colaboración con la organización socio formadora,1. Evalúa tu nivel satisfacción en los siguientes aspectos: - h) Seguimiento y liderazgo de la organización socio formadora,"1. Evalúa tu nivel satisfacción en los siguientes aspectos: - i) Atención y servicio del área que administra el Servicio Social en el campus (asesoría y orientación, información puntual, atención de dudas, seguimiento de incidentes)",2. La Organización Socio Formadora ¿ofreció retroalimentación sobre el desarrollo del Proyecto Solidario y tu desempeño?,3. ¿Consideras interesante la causa social del socio formador?,4. Escribe algún comentario que te interese compartir con la organización socio formadora:,"5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - a) Ser sensible ante la vulnerabilidad, el dolor y el sufrimiento del otro y actuar con el fin de eliminarlo, aliviarlo o evitarlo, a través de acciones justas alejadas de la pasión egoísta y/o de sentimientos de superioridad","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - b) Actuar con responsabilidad, con el fin de asegurar el bienestar de la colectividad, a través de acciones que garantizan el acceso a los derechos humanos, el empoderamiento de los ciudadanos y de las comunidades, así como el cuidado, mantenimiento y uso sostenible de los recursos y bienes comunes","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - c) Actuar con respeto ante la diversidad de género, sexual, étnica, cultural, de capacidades, generacional, religiosa y socioeconómica mostrando una cordial aceptación de las diferencias y la capacidad para gestionar de manera razonable los conflictos","5. Expresa tu opinión en los siguientes enunciados, en esta experiencia de servicio social tuve la oportunidad de: - e) Promover soluciones cooperativas en problemas o coordinar acciones colectivas con el fin de mejorar la calidad de vida de la sociedad, fomentando la cultura de la legalidad, los derechos humanos y/o el fortalecimiento de la democracia",6. Comparte algo en particular sobre la experiencia de servicio social que acabas de vivir. Nos interesa conocer tu opinión:,6.1 Tu comentario sobre la experiencia es:,CRN,Nombre de Experiencia,OSF,Periodo,Tipo de Formato
17/03/23 14:43,17/03/23 14:45,IP Address,131.178.102.192,100,154,True,17/03/23 14:45,R_R9rximFWD7D9eGl,,,,,25.6546,-100.2967,ES-ES,@00001,"Casa Samuel Salud, A.B.P.","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Me gusto mucho el enfoque que manejan en la clínica la motivación y pasión que tienen todos los involucrados lo que me motivó mucho a brindar un muy buen proyecto ,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Muy bien y recomendaría a los arquitectos y diseñadores a trabajar en una propuesta viable recopilando propuestas anteriores ,Área de oportunidad,,,,,
17/03/23 14:49,17/03/23 14:52,IP Address,131.178.200.61,100,180,True,17/03/23 14:52,R_1FhZzIq7pSdbsYh,,,,,25.6546,-100.2967,ES-ES,@00002,"Tierra de Artistas, A.C.","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho", 3, 2,No,Sí,Todo bien aunque se siente muy rápido que sea un solo taller de un solo día ,"
5 Totalmente de Acuerdo", 3, 3, 3,No tuvimos muy buen seguimiento con nuestro asesor de ss,Área de oportunidad,,,,,
17/03/23 15:13,17/03/23 15:14,IP Address,131.178.102.196,100,59,True,17/03/23 15:14,R_2s7woFRqL9Sqsha,,,,,25.6546,-100.2967,ES-ES,@00003,"Casa Samuel Salud, A.B.P.","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,-,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",-,Área de oportunidad,,,,,
17/03/23 15:45,17/03/23 15:47,IP Address,189.152.251.104,100,123,True,17/03/23 15:47,R_1jBUQCdfQiODA4N,,,,,25.6802,-100.3065,ES-ES,@00004,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C.","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Me hubiera gustado más información al final del proyecto creo que faltó comunicación de parte de las organizadoras,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Me gsutó la idea y objetivo del proyecto,Área de oportunidad,,,,,
17/03/23 16:09,17/03/23 16:10,IP Address,187.189.142.55,100,63,True,17/03/23 16:10,R_1U4Lmxgh1EnDrcR,,,,,25.6677,-100.2514,ES-ES,@00005,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C.","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Todo muy bien,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Todo bien,Reconocimiento,,,,,
17/03/23 16:10,17/03/23 16:16,IP Address,187.188.77.147,100,361,True,17/03/23 16:16,R_2WO7NxbvJJcdfcj,,,,,25.6554,-100.3258,ES-ES,@00006,"Tierra de Artistas, A.C.","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,"Gran organización, hicimos un trabajo muy lindo y entendimos la importancia de ello.","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Me encanto poder adentrarme a esta cultura y poder hacer yo misma un alebrije fue increible ya que entendi que como transmitimos nuestra historia en una artesanía y como lo hacen así los artesanos.,Área de oportunidad,,,,,
17/03/23 16:15,17/03/23 16:21,IP Address,189.203.148.42,100,366,True,17/03/23 16:21,R_2WIPIekUXKiunaX,,,,,25.6554,-100.3258,ES-ES,@00007,Secretaría de Educación de Nuevo León: Coordinación Estatal de Telebachillerato y del Subsistema de Preparatoria Abierta de la Subsecretaría de Educación Media Superior y Superior.,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
1 Nada Satisfecho", 4, 4, 4,Sí,No,N/A, 4, 4, 4, 4,N/A,Reconocimiento,,,,,
17/03/23 16:20,17/03/23 16:23,IP Address,201.149.16.2,100,164,True,17/03/23 16:23,R_1pnZfF43RkD4WOa,,,,,25.6554,-100.3258,ES-ES,@00008,Secretaría de Desarrollo Social y Humano del Municipio de San Pedro, 4,"
5 Muy Satisfecho", 4, 4,"
5 Muy Satisfecho", 3, 4, 4,Sí,Sí,me gustaria mas conexion con la organizacion y mas tiempo de este servicio para ver los resultados de los proyectos, 4,"
5 Totalmente de Acuerdo", 4,"
5 Totalmente de Acuerdo",me parece interesante el proyecto y el hecho de que sea tan amplio el rubro de ayuda que se busca,Reconocimiento,,,,,
17/03/23 17:21,17/03/23 17:23,IP Address,189.219.64.188,100,122,True,17/03/23 17:23,R_2EhMLGT59NxY64p,,,,,25.6554,-100.3258,ES-ES,@00009,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C.","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Me gusto la interacción , 4, 4, 4, 4,"Un proyecto que ayuda mucho a la sociedad
",Reconocimiento,,,,,
17/03/23 17:41,17/03/23 17:42,IP Address,189.152.50.180,100,82,True,17/03/23 17:42,R_11j39WW6yJDNafB,,,,,25.6546,-100.2967,ES-ES,@00010,"Tierra de Artistas, A.C.","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",No,Sí,Me gusto mucho el servicio,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Siento que terminé un poquito más culta y con más información acerca de la organización ,Reconocimiento,,,,,
